LAND,BESTÄTIGTE FÄLLE,TODESFÄLLE,GEHEILTE,Geheilte,Todesfälle,Aktuelle Erkrankungen,22.01.20,23.01.20,24.01.20,25.01.20,26.01.20,27.01.20,28.01.20,29.01.20,30.01.20,31.01.20,01.02.20,02.02.20,03.02.20,04.02.20,05.02.20,06.02.20,07.02.20,08.02.20,09.02.20,10.02.20,11.02.20,12.02.20,13.02.20,14.02.20,15.02.20,16.02.20,17.02.20,18.02.20,19.02.20,20.02.20,21.02.20,22.02.20,23.02.20,24.02.20,25.02.20,26.02.20,27.02.20,28.02.20,29.02.20,01.03.20,02.03.20,03.03.20,04.03.20,05.03.20,06.03.20,07.03.20,08.03.20,09.03.20,10.03.20,11.03.20,12.03.20,13.03.20,14.03.20,15.03.20,16.03.20,17.03.20,18.03.20,19.03.20,20.03.20,21.03.20,22.03.20,23.03.20,24.03.20,25.03.20,26.03.20,27.03.20,28.03.20,29.03.20,30.03.20,31.03.20,01.04.20,02.04.20,03.04.20,04.04.20,05.04.20,06.04.20,07.04.20,08.04.20,09.04.20,10.04.20,11.04.20,12.04.20,13.04.20,14.04.20,15.04.20,16.04.20,17.04.20,18.04.20,19.04.20,20.04.20,21.04.20
Mexiko,8.772,712,2.627,2.627,712,5.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,6,6,7,7,7,8,12,12,26,41,53,82,93,118,164,203,251,316,367,405,475,585,717,848,993,1.094,1.215,1.378,1.510,1.688,1.890,2.143,2.439,2.785,3.181,3.441,3.844,4.219,4.661,5.014,5.399,5.847,6.297,6.875,7.497,8.261,8.772
Dänemark,7.891,370,4.889,4.889,370,2.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,11,11,24,24,37,92,264,444,617,804,836,875,933,1.025,1.116,1.225,1.337,1.420,1.514,1.572,1.718,1.862,2.023,2.200,2.366,2.564,2.755,3.039,3.290,3.573,3.946,4.269,4.561,4.875,5.266,5.597,5.830,6.014,6.191,6.369,6.513,6.706,6.876,7.074,7.268,7.437,7.580,7.711,7.891
Arabische Emirate,7.755,46,1.443,1.443,46,6.266,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,8,8,9,9,9,9,9,9,13,13,13,13,13,13,19,21,21,21,27,27,29,29,45,45,45,74,74,85,85,85,98,98,98,113,140,140,153,153,198,248,333,333,405,468,570,611,664,814,1.024,1.264,1.505,1.799,2.076,2.359,2.659,2.990,3.360,3.736,4.123,4.521,4.933,5.365,5.825,6.302,6.302,6.781,7.265,7.755
Norwegen,7.191,182,32,32,182,6.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,15,19,25,32,56,87,108,147,176,205,400,598,702,996,1.090,1.221,1.333,1.463,1.550,1.746,1.914,2.118,2.385,2.621,2.863,3.084,3.369,3.755,4.015,4.284,4.445,4.641,4.863,5.147,5.370,5.550,5.687,5.865,6.086,6.086,6.211,6.314,6.409,6.525,6.603,6.623,6.740,6.896,6.937,7.036,7.078,7.156,7.191
Indonesien,7.135,616,842,842,616,5.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,6,19,27,34,34,69,96,117,134,172,227,311,369,450,514,579,686,790,893,1.046,1.155,1.285,1.414,1.528,1.677,1.790,1.986,2.092,2.273,2.491,2.738,2.956,3.293,3.512,3.842,4.241,4.557,4.839,5.136,5.516,5.923,6.248,6.575,6.760,7.135
Tschechien,7.033,201,1.753,1.753,201,5.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,12,18,19,31,31,41,91,94,141,189,253,298,396,464,694,833,995,1.120,1.236,1.394,1.654,1.925,2.279,2.631,2.817,3.001,3.308,3.508,3.858,4.091,4.472,4.587,4.822,5.017,5.312,5.569,5.732,5.831,5.991,6.059,6.111,6.216,6.433,6.549,6.606,6.746,6.900,7.033
Weißrussland,6.723,55,577,577,55,6.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,6,6,9,9,12,27,27,27,36,36,51,51,69,76,76,81,81,86,86,94,94,94,152,152,163,304,351,440,562,700,861,1.066,1.486,1.981,2.226,2.578,2.919,3.281,3.728,4.204,4.779,4.779,4.779,6.264,6.723
Serbien,6.630,125,870,870,125,5.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,12,19,35,46,48,55,65,83,103,135,171,222,249,303,384,384,457,659,741,785,900,1.060,1.171,1.476,1.624,1.908,2.200,2.447,2.666,2.867,3.105,3.380,3.630,4.054,4.465,4.873,5.318,5.690,5.994,6.318,6.630,6.630
Philippinen,6.599,437,654,654,437,5.508,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,10,20,33,49,52,64,111,140,142,187,202,217,230,307,380,462,552,636,707,803,1.075,1.418,1.546,2.084,2.311,2.633,3.018,3.094,3.246,3.660,3.764,3.870,4.076,4.195,4.428,4.648,4.932,5.223,5.453,5.660,5.878,6.087,6.259,6.459,6.599
Australien,6.547,67,4.124,4.124,67,2.356,0,0,0,0,4,5,5,6,9,9,12,12,12,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,27,30,39,52,55,60,63,76,91,107,128,128,200,250,297,377,452,568,681,791,1.071,1.549,1.682,2.044,2.364,2.810,3.143,3.640,3.984,4.361,4.559,4.862,5.116,5.330,5.550,5.687,5.797,5.895,6.010,6.108,6.215,6.303,6.315,6.351,6.415,6.440,6.462,6.522,6.547,6.547,6.547,6.547
Katar,6.533,9,614,614,9,5.910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,8,8,8,8,15,18,24,262,262,320,337,401,439,439,452,460,470,481,494,501,526,537,549,562,590,634,693,781,835,949,1.075,1.325,1.604,1.832,2.057,2.210,2.376,2.512,2.728,2.979,3.231,3.428,3.711,4.103,4.663,5.008,5.448,6.015,6.533
Ukraine,6.125,161,367,367,161,5.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,14,14,16,29,47,73,73,97,145,196,310,356,475,548,645,794,897,1.072,1.225,1.308,1.319,1.462,1.668,1.892,2.203,2.511,2.777,3.102,3.372,3.764,4.161,4.662,5.106,5.449,5.710,6.125
